t,q_1,q_2,q_3,q_4,q_5,q_6,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6
0.58,0,1.203263104,0,-1.58477178,0.185582274,0,0,-0.824853528,0,-1.767168829,10.79391316,0,0,-7.642609208,0,-1.767168829,10.79391316,0
0.59,0,1.194695641,0,-1.602391017,0.216447585,0,0,-0.902857358,0,-1.753062096,10.64147826,0,0,-8.013946628,0,-1.753062096,10.64147826,0
0.6,0,1.185331915,0,-1.619844911,0.248380592,0,0,-0.984518236,0,-1.733619543,10.44710494,0,0,-8.369908707,0,-1.733619543,10.44710494,0
0.61,0,1.175134226,0,-1.63708421,0.281368902,0,0,-1.070075307,0,-1.709216406,10.25265485,0,0,-8.723861586,0,-1.709216406,10.25265485,0
0.62,0,1.164067987,0,-1.654055725,0.315391963,0,0,-1.15906906,0,-1.679107442,9.999468078,0,0,-9.051181036,0,-1.679107442,9.999468078,0
0.63,0,1.152097038,0,-1.670705526,0.350431228,0,0,-1.251892187,0,-1.64387379,9.732185866,0,0,-9.367683506,0,-1.64387379,9.732185866,0
0.64,0,1.139187106,0,-1.686977192,0.386463977,0,0,-1.347377988,0,-1.602042564,9.387998982,0,0,-9.637543227,0,-1.602042564,9.387998982,0
0.65,0,1.125306475,0,-1.702805387,0.423457022,0,0,-1.44617498,0,-1.554610367,9.006520914,0,0,-9.88083254,0,-1.554610367,9.006520914,0
0.66,0,1.110426072,0,-1.718133036,0.461381017,0,0,-1.547200546,0,-1.500556533,8.559217706,0,0,-10.07391574,0,-1.500556533,8.559217706,0
0.67,0,1.094527741,0,-1.732894301,0.500185952,0,0,-1.650700013,0,-1.440461983,8.068987484,0,0,-10.23040089,0,-1.440461983,8.068987484,0
0.68,0,1.077589159,0,-1.747027906,0.539832397,0,0,-1.754837341,0,-1.373044638,7.515434164,0,0,-10.32826352,0,-1.373044638,7.515434164,0
0.69,0,1.059609861,0,-1.760458688,0.580244124,0,0,-1.85988168,0,-1.299165942,6.913570947,0,0,-10.3766429,0,-1.299165942,6.913570947,0
0.7,0,1.040573223,0,-1.773122549,0.621375022,0,0,-1.965029222,0,-1.218643974,6.215265279,0,0,-10.3326825,0,-1.218643974,6.215265279,0
0.71,0,1.020485901,0,-1.784953982,0.663150389,0,0,-2.070448607,0,-1.132083073,5.473541311,0,0,-10.23009404,0,-1.132083073,5.473541311,0
0.72,0,0.999348196,0,-1.795895001,0.705510699,0,0,-2.174508197,0,-1.038986855,4.68763069,0,0,-10.0603988,0,-1.038986855,4.68763069,0
0.73,0,0.977176288,0,-1.805881285,0.748374171,0,0,-2.277862776,0,-0.940183376,3.868618164,0,0,-9.829432061,0,-0.940183376,3.868618164,0
0.74,0,0.95398928,0,-1.814852928,0.791661174,0,0,-2.376096599,0,-0.834442854,3.013696756,0,0,-9.533449947,0,-0.834442854,3.013696756,0
0.75,0,0.929827968,0,-1.822741461,0.835263264,0,0,-2.472112312,0,-0.723665538,1.353641636,0,0,-9.089426076,0,-0.723665538,1.353641636,0
0.76,0,0.904728232,0,-1.829499099,0.879094354,0,0,-2.562795466,0,-0.607471185,-0.554154652,0,0,-8.568565347,0,-0.607471185,-0.554154652,0
0.77,0,0.878733374,0,-1.83507886,0.923062349,0,0,-2.650153228,0,-0.486982252,-2.498164146,0,0,-7.955879706,0,-0.486982252,-2.498164146,0
0.78,0,0.851893782,0,-1.839436391,0.96707113,0,0,-2.731426746,0,-0.362195416,-4.446738386,0,0,-7.271136748,0,-0.362195416,-4.446738386,0
0.79,0,0.824263484,0,-1.842532727,1.010977702,0,0,-2.804095254,0,-0.233597658,-6.531236199,0,0,-6.387077254,0,-0.233597658,-6.531236199,0
0.8,0,0.795961766,0,-1.84432496,1.054060272,0,0,-2.866032008,0,-0.102373864,-8.568955974,0,0,-5.457624473,0,-0.102373864,-8.568955974,0
0.81,0,0.767067771,0,-1.844798809,1.096065126,0,0,-2.920304401,0,0.030293795,-10.5765047,0,0,-4.47160883,0,0.030293795,-10.5765047,0
0.82,0,0.73766137,0,-1.84394391,1.1369021,0,0,-2.96799263,0,0.163736173,-12.49956659,0,0,-3.466318706,0,0.163736173,-12.49956659,0
0.83,0,0.707870697,0,-1.841760768,1.176431649,0,0,-2.992525243,0,0.295491879,-14.0342943,0,0,-2.481067555,0,0.295491879,-14.0342943,0
0.84,0,0.677867589,0,-1.838271313,1.214485261,0,0,-3.009034796,0,0.424730325,-14.78517625,0,0,-1.549036382,0,0.424730325,-14.78517625,0
0.85,0,0.647746803,0,-1.833499373,1.250981378,0,0,-3.015415822,0,0.550333106,-15.43973651,0,0,-0.634342158,0,0.550333106,-15.43973651,0
0.86,0,0.617585798,0,-1.8274865,1.285881075,0,0,-3.014947867,0,0.672137061,-16.02346975,0,0,0.299424523,0,0.672137061,-16.02346975,0
0.87,0,0.587461587,0,-1.820275403,1.319149438,0,0,-3.008046089,0,0.789707215,-16.32092149,0,0,1.030244409,0,0.789707215,-16.32092149,0
0.88,0,0.557432345,0,-1.811908963,1.350770683,0,0,-2.994007046,0,0.902357754,-16.50484702,0,0,1.697583173,0,0.902357754,-16.50484702,0
0.89,0,0.527565949,0,-1.802437483,1.380726314,0,0,-2.97545176,0,1.010356204,-16.55811228,0,0,2.278210706,0,1.010356204,-16.55811228,0
0.9,0,0.497929064,0,-1.79191073,1.408996579,0,0,-2.946436159,0,1.111054636,-16.54007488,0,0,2.815641604,0,1.111054636,-16.54007488,0
0.91,0,0.468594927,0,-1.780399727,1.435580523,0,0,-2.914057113,0,1.206332912,-16.44839384,0,0,3.302053016,0,1.206332912,-16.44839384,0
0.92,0,0.439608633,0,-1.767964817,1.460492608,0,0,-2.876394391,0,1.295088466,-16.2843767,0,0,3.728562889,0,1.295088466,-16.2843767,0
0.93,0,0.411006836,0,-1.754665565,1.483754981,0,0,-2.835968465,0,1.378104307,-16.07028709,0,0,4.123587964,0,1.378104307,-16.07028709,0
0.94,0,0.382828432,0,-1.740565568,1.505391236,0,0,-2.791668324,0,1.454584419,-15.76996063,0,0,4.42032005,0,1.454584419,-15.76996063,0
0.95,0,0.355100739,0,-1.725719876,1.525426101,0,0,-2.74534373,0,1.525226448,-15.43598801,0,0,4.689211119,0,1.525226448,-15.43598801,0
0.96,0,0.327849375,0,-1.710196099,1.543902753,0,0,-2.696536613,0,1.589640532,-15.05564698,0,0,4.902130497,0,1.589640532,-15.05564698,0
0.97,0,0.301088828,0,-1.694051094,1.560863083,0,0,-2.646135194,0,1.648218876,-14.65637071,0,0,5.097743928,0,1.648218876,-14.65637071,0
0.98,0,0.274844434,0,-1.677349376,1.576345181,0,0,-2.593523107,0,1.700435632,-14.22772438,0,0,5.255634512,0,1.700435632,-14.22772438,0
0.99,0,0.249126442,0,-1.660147089,1.590394404,0,0,-2.540052084,0,1.747083943,-13.78611874,0,0,5.392326652,0,1.747083943,-13.78611874,0
1,0,0.223956494,0,-1.642504716,1.603046336,0,0,-2.484683,0,1.787347017,-13.33026354,0,0,5.510304054,0,1.787347017,-13.33026354,0
1.01,0,0.199338589,0,-1.624480438,1.614357031,0,0,-2.429226779,0,1.822515766,-12.86738955,0,0,5.608364323,0,1.822515766,-12.86738955,0
1.02,0,0.175284952,0,-1.606133466,1.624372725,0,0,-2.371621785,0,1.851027609,-12.39536308,0,0,5.68402404,0,1.851027609,-12.39536308,0
1.03,0,0.151804917,0,-1.587521188,1.633140815,0,0,-2.314450829,0,1.874857567,-11.92488359,0,0,5.753926669,0,1.874857567,-11.92488359,0
1.04,0,0.128900424,0,-1.568694578,1.640709744,0,0,-2.255934363,0,1.892637865,-11.44969933,0,0,5.795870328,0,1.892637865,-11.44969933,0
1.05,0,0.106584275,0,-1.549710633,1.647120801,0,0,-2.197577712,0,1.905612437,-10.98283345,0,0,5.863463591,0,1.905612437,-10.98283345,0
1.06,0,0.084849944,0,-1.530616174,1.652429478,0,0,-2.138978679,0,1.913575281,-10.51380393,0,0,5.899300802,0,1.913575281,-10.51380393,0
1.07,0,0.063705082,0,-1.511465558,1.656681701,0,0,-2.079853612,0,1.916332247,-10.05412848,0,0,5.935632762,0,1.916332247,-10.05412848,0
1.08,0,0.0431489,0,-1.492304885,1.659924121,0,0,-2.021170473,0,1.914875005,-9.600638057,0,0,5.956397467,0,1.914875005,-9.600638057,0
1.09,0,0.02318519,0,-1.473183068,1.662201287,0,0,-1.96061456,0,1.907084196,-9.157017363,0,0,5.974173574,0,1.907084196,-9.157017363,0
1.1,0,0.003831732,0,-1.454160676,1.66355367,0,0,-1.899929046,0,1.894628098,-8.724226065,0,0,5.988994229,0,1.894628098,-8.724226065,0
1.11,0,-0.014916777,0,-1.435279813,1.664030778,0,0,-1.83951899,0,1.87806991,-8.302372573,0,0,5.986125327,0,1.87806991,-8.302372573,0
1.12,0,-0.033063301,0,-1.416580522,1.663675442,0,0,-1.779427715,0,1.857612326,-7.893514506,0,0,5.989816312,0,1.857612326,-7.893514506,0
1.13,0,-0.050610279,0,-1.398101821,1.662528897,0,0,-1.71947173,0,1.833218856,-7.49595263,0,0,5.978087206,0,1.833218856,-7.49595263,0
